PLAYER,TEAM,AGE,GAMES PLAYED,WINS,LOSSES,MINUTES PLAYED,POINTS,FIELD GOALS MADE,FIELD GOALS ATTEMPTED,FIELD GOAL %,3 POINT FIELD GOALS MADE,3 POINT FIELD GOALS ATTEMPTED,3 POINT FIELD GOALS %,FREE THROWS MADE,FREE THROWS ATTEMPTED,FREE THROW %,OFFENSIVE REBOUNDS,DEFENSIVE REBOUNDS,REBOUNDS,ASSISTS,TURNOVERS,STEALS,BLOCKS,PERSONAL FOULS,FANTASY POINTS,DOUBLE DOUBLES,TRIPLE DOUBLES,PLUS MINUS
Alex Len,ATL,25,23,5,18,20,9.8,3.7,7.5,50,0.7,1.9,34.1,1.7,2.6,64.4,1.8,3.4,5.2,0.9,1.6,0.3,0.9,3,19.6,3,0,-2.8
Alex Poythress,ATL,25,13,3,10,15,5,2,3.8,53.1,0.4,1.1,35.7,0.6,1.3,47.1,1.5,2.2,3.8,0.8,0.6,0.2,0.4,2.4,12,0,0,-5
Daniel Hamilton,ATL,23,2,0,2,6,1.5,0.5,2,25,0,0.5,0,0.5,1,50,0,0,0,0.5,0.5,0,0,0,1.8,0,0,-4
DeAndre' Bembry,ATL,24,25,5,20,23,8.4,3.2,7.7,40.9,0.8,2.4,31.7,1.3,2.1,60.4,0.6,3.8,4.4,2.5,1.6,1.4,0.6,2.3,21.9,1,0,-4.8
Dewayne Dedmon,ATL,29,19,4,15,21.8,7.8,3.1,6.9,43.9,0.6,2.3,25,1.1,1.3,87.5,1.2,5.5,6.7,0.8,1.2,1.1,1.2,3.2,22.6,2,0,-6.7
Jaylen Adams,ATL,22,4,1,3,3.2,0.8,0.3,1,25,0.3,1,25,0,0,0,0,0.5,0.5,0.3,0,0,0.3,0,2.5,0,0,2.3
Jeremy Lin,ATL,30,23,5,18,18.5,11,3.7,7.1,51.2,1.1,2.7,41.3,2.5,3,84.1,0.2,2.1,2.3,3.1,2,0.9,0.1,2,19.3,1,0,-2.7
John Collins,ATL,21,10,2,8,27.4,16.9,7.2,11.5,62.6,0.4,2.1,19,2.1,2.7,77.8,2.1,5.8,7.9,2.4,2.2,0.1,0.5,2.8,29.6,4,0,-2.6
Justin Anderson,ATL,25,8,1,7,8.7,4.9,1.9,4.4,42.9,0.1,1.6,7.7,1,1.1,88.9,0.5,0.8,1.3,0.5,0.4,0.6,0.1,1.3,9,0,0,1.5
Kent Bazemore,ATL,29,25,5,20,26.1,12.8,4.6,10.4,44.4,1.2,4.3,28.7,2.3,2.9,78.1,0.6,3.3,3.9,2.1,2,1.7,1,2.5,26.6,0,0,-7.8
Kevin Huerter,ATL,20,24,5,19,20.9,6.1,2.2,5.5,40.5,1.2,3,38.9,0.5,0.7,75,0.9,2.5,3.3,2.1,1,0.6,0.3,1.7,15.1,0,0,-1.8
Miles Plumlee,ATL,30,16,0,16,9.7,4.8,1.9,2.8,68.2,0,0,0,1,1.8,57.1,1,1.3,2.3,0.9,0.6,0.4,0.3,0.8,10.1,0,0,-2.7
Omari Spellman,ATL,21,22,5,17,18.2,6.3,2.2,5.8,38.6,0.9,2.7,31.7,1,1.3,75,1.9,2.5,4.5,1,0.7,0.8,0.6,1.5,16.6,3,0,-6.5
Taurean Prince,ATL,24,21,5,16,28.7,15,5.2,12.1,43.1,2.4,6.6,36.7,2.1,2.6,83.3,0.3,3.7,4,2.3,2.6,1.1,0.3,3,25.1,0,0,-8.5
Trae Young,ATL,20,25,5,20,29.2,15.7,5.6,14.8,37.7,1.4,5.7,23.9,3.2,4.1,78.4,0.5,2.4,2.8,7.3,4,0.7,0.3,1.4,29.1,7,0,-9.8
Tyler Dorsey,ATL,22,12,0,12,10.7,3.8,1.4,3.8,37,0.3,1.3,18.8,0.8,1.4,52.9,0.2,1.4,1.6,0.8,0.3,0.3,0,0.7,7.4,0,0,-0.3
Vince Carter,ATL,41,22,3,19,17.7,6.9,2.4,6.1,39.3,1.4,3.8,35.7,0.7,0.9,84.2,0.3,2.1,2.4,1,0.5,0.6,0.4,1.6,13.6,0,0,-3.5
Allen Crabbe,BKN,26,26,9,17,25.7,8.8,2.8,8.8,32.3,2.2,6,36.1,0.9,1.2,77.4,0.5,2.9,3.4,1,1.2,0.5,0.3,2.5,15.7,0,0,-1
Caris LeVert,BKN,24,14,6,8,29.7,18.4,6.9,14.6,47.5,1.4,4.4,31.1,3.1,4.4,72.1,1,3.3,4.3,3.7,2.1,1.2,0.4,2.4,31.6,0,0,-1.9
D'Angelo Russell,BKN,22,27,9,18,29.2,18.4,7.1,17.1,41.8,2.5,6.9,35.8,1.6,2.2,74.6,0.6,3.3,3.9,5.7,2.8,1.3,0.3,1.6,33.7,1,0,-2.7
DeMarre Carroll,BKN,32,16,4,12,22,8.9,2.5,7.3,34.5,1.3,3.9,32.3,2.6,3.2,82.4,1,4.2,5.2,0.8,1.2,0.4,0.1,1.6,16.5,1,0,-2.5
Dzanan Musa,BKN,19,7,3,4,3.7,1.7,0.9,2,42.9,0,0.9,0,0,0.3,0,0.1,0.3,0.4,0.1,0.4,0.3,0,0.1,2.9,0,0,0.4
Ed Davis,BKN,29,27,9,18,17,5.5,2.3,3.9,58.5,0,0,0,0.9,1.5,58.5,3.2,5.1,8.3,0.6,0.7,0.4,0.4,3,18.2,2,0,0.1
Jared Dudley,BKN,33,27,9,18,21.7,4.3,1.6,4.2,37.2,0.8,2.6,29.6,0.4,0.6,68.8,0.6,2,2.6,1.4,0.9,0.5,0.3,2.6,11,0,0,-0.7
Jarrett Allen,BKN,20,25,9,16,28.3,12.3,4.7,8,58.8,0.1,0.8,15,2.8,4,70.7,3,5.4,8.4,1.7,1.5,0.6,1.4,2.6,29.4,10,0,-0.8
Joe Harris,BKN,27,24,9,15,29.7,12.8,4.6,9.6,48.3,2.3,5.1,44.7,1.3,1.6,81.6,0.8,2.9,3.8,2.2,1.4,0.6,0.1,3.2,21.4,0,0,0
Kenneth Faried,BKN,29,8,2,6,5.6,3.1,1.4,1.8,78.6,0,0,0,0.4,0.9,42.9,0.9,1.1,2,0,0.4,0.1,0.1,0.3,5.9,0,0,-0.6
Rodions Kurucs,BKN,20,10,4,6,12.4,7.2,2.9,5.8,50,0.6,2.2,27.3,0.8,0.8,100,1.1,2.2,3.3,0.1,0.8,0.3,0,1.4,11.4,0,0,3
Rondae Hollis-Jefferson,BKN,23,23,7,16,23.5,9.5,3.6,9,40.3,0.2,1,18.2,2.1,3.3,63.2,1.6,4.3,5.9,1.6,1.1,0.7,0.4,1.9,21.2,1,0,-2.1
Shabazz Napier,BKN,27,22,6,16,15.4,7.9,2.5,6.6,37.7,1,2.8,37.1,1.9,2.2,83.7,0.4,1.3,1.7,1.5,0.9,0.7,0.3,1.3,14.4,0,0,-0.8
Spencer Dinwiddie,BKN,25,27,9,18,28.6,15.8,5.4,11.7,46.1,1.9,5.4,35.6,3,3.9,77.4,0.6,1.9,2.5,4.9,2.1,0.6,0.4,3.2,26.9,0,0,-2.8
Theo Pinson,BKN,23,3,1,2,4.9,0.7,0,1,0,0,0.7,0,0.7,0.7,100,0,0.3,0.3,1.3,0,0,0,0,3.1,0,0,-0.7
Treveon Graham,BKN,25,2,1,1,13.6,0,0,1.5,0,0,1,0,0,0,0,0.5,1.5,2,0.5,1,0.5,0,2.5,3.7,0,0,3.5
Al Horford,BOS,32,22,12,10,30,12.4,5.1,10.4,49.1,1.3,3.7,34.1,1,1.4,70,1.5,4.8,6.4,3.4,1.5,0.8,1.7,1.9,31.1,2,0,1.3
Aron Baynes,BOS,31,21,12,9,14.5,5.5,1.8,4.3,41.8,0.5,1.7,31.4,1.3,1.5,87.5,1.6,2.8,4.4,1.2,0.7,0.2,0.5,2.4,14.1,0,0,2.8
Brad Wanamaker,BOS,29,7,6,1,6.1,3.1,1,2.1,46.7,0.4,0.7,60,0.7,0.9,83.3,0,0.7,0.7,1.1,0.6,0.1,0,0.1,5.6,0,0,0.1
Daniel Theis,BOS,26,14,9,5,11.9,5.2,2.3,3.9,58.2,0.3,0.8,36.4,0.4,0.6,55.6,1.1,1.6,2.6,0.7,0.8,0.1,0.4,2.8,10,0,0,3.9
Gordon Hayward,BOS,28,22,13,9,26.7,11,3.8,9.1,41.8,1.3,3.8,33.7,2.1,2.4,88.7,1,4.5,5.5,3.5,1.4,1.2,0.3,1.5,25.9,0,0,3.7
Guerschon Yabusele,BOS,22,13,10,3,4.6,1.8,0.5,1.8,30.4,0.2,0.7,22.2,0.5,0.6,87.5,0.4,0.7,1.1,0.2,0.1,0.2,0.1,0.7,4.3,0,0,-0.2
Jaylen Brown,BOS,22,20,10,10,27.9,11.6,4.5,10.8,41.2,1,3.9,24.7,1.8,2.7,64.8,1.1,3,4.1,1.3,1.4,0.6,0.6,2.6,20.5,0,0,-0.4
Jayson Tatum,BOS,20,24,14,10,31.3,16.4,5.9,13.1,45.2,1.8,4.5,40.7,2.7,3.2,84.4,1.3,5.2,6.5,1.9,1.5,1.1,0.5,2.4,30.3,1,0,4.5
Kyrie Irving,BOS,26,23,14,9,32.1,22.2,8.6,17.7,48.5,2.6,6.7,39.2,2.5,3,81.4,1.2,3.6,4.7,6.4,2.6,1.7,0.5,2.4,41.5,4,0,5.3
Marcus Morris,BOS,29,23,13,10,26.6,13.8,5,10.4,48.1,2,4.9,41.6,1.8,2,87.2,0.7,5.5,6.2,1.3,1.7,0.6,0.1,2.8,23.9,3,0,1.8
